Date,Sample Site,Species,Provenance,Transplanted,Comment,source,abundance,Iceplant Depth (cm),
12/23/20,L45,Deinandra_t_Dec23_L45,native,Deinandra_t_Dec23_L45,,seedbank,1,,
12/23/20,D30,Cryptantha_t_Dec23_D30,native,Cryptantha_t_Dec23_D30,,seedbank,1,,
12/23/20,W4,StipaPulchra_t_Dec23_W4,native,StipaPulchra_t_Dec23_W4,,seedbank,1,,
12/23/20,D24,Acmispon_t_Dec23_D24,native,Acmispon_t_Dec23_D24,which lotus? ; 2 lotus transplanted together,seedbank,1,,
12/23/20,D24,Acmispon_t_Dec23_D24,native,,,seedbank,1,,
7/1/21,W15,Juncus,native,Juncus_t_Jan07_W15,1 transplanted,seedbank,1,,
7/1/21,L37,Juncus_t_Jan07_L37,native,Juncus_t_Jan07_L37,3 pulled + 1 transplanted =4,seedbank,1,,
7/1/21,L37,Juncus_t_Jan07_L37,native,,,seedbank,1,,
7/1/21,L37,Juncus_t_Jan07_L37,native,,,seedbank,1,,
7/1/21,L37,Juncus_t_Jan07_L37,native,,,seedbank,1,,
7/1/21,W11,Juncus_t_Jan07_W11-1,native,Juncus_t_Jan07_W11-1,2 pulled + 1 transplanted = 3,seedbank,1,,
7/1/21,W11,Juncus_t_Jan07_W11-1,native,,,seedbank,1,,
7/1/21,W11,Juncus_t_Jan07_W11-1,native,,,seedbank,1,,
7/1/21,W11,Juncus_t_Jan07_W11-2,native,Juncus_t_Jan07_W11-2,2 pulled + 1 transplanted = 3,seedbank,1,,
7/1/21,W11,Juncus_t_Jan07_W11-2,native,,,seedbank,1,,
7/1/21,W11,Juncus_t_Jan07_W11-2,native,,,seedbank,1,,
7/1/21,L45,Deinandra_t_Dec23_L45,native,,,seedbank,1,,
7/1/21,L45,Deinandra_t_Dec23_L45,native,,,seedbank,1,,
7/1/21,L33,Baccharis pilularis,native,,,seedbank,1,,
7/1/21,L32,Artemesia californica,native,,,seedbank,1,,
7/1/21,W10,Artemesia californica,native,,,seedbank,1,,
7/1/21,D25,ScrophulariaAtrata_t_Jan07_D25,native,ScrophulariaAtrata_t_Jan07_D25,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W1,56 pulled + 1 transplanted = 57,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W2,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W3,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W4,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W5,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W6,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W7,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W8,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W9,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W10,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W11,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W12,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W13,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W14,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W15,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W16,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W17,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W18,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W19,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W20,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W21,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W22,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W23,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W24,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W25,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W26,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W27,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W28,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W29,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W30,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W31,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W32,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W33,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W34,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W35,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W36,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W37,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W38,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W39,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W40,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W41,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W42,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W43,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W44,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W45,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W46,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W47,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W48,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W49,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W50,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W51,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W52,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W53,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W54,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W55,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W56,,seedbank,1,,
8/1/21,W1,Juncus bufonius,native,JuncusBufonius_t_Jan08_W57,,seedbank,1,,
8/1/21,W9,Artemesia californica,native,,,seedbank,1,,
8/1/21,L39,Crassula connata,native,,accidentally,seedbank,1,,
8/1/21,W8,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,W15,Crassula connata,native,CrassulaConnata_t_jan19_W15,3 pulled + 2 transplanted = 5,seedbank,1,,
1/19/21,W15,Crassula connata,native,,,seedbank,1,,
1/19/21,W15,Crassula connata,native,,,seedbank,1,,
1/19/21,W15,Crassula connata,native,,,seedbank,1,,
1/19/21,W15,Crassula connata,native,,,seedbank,1,,
1/19/21,W11,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,W11,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,W11,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,W11,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,W11,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,W11,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,W11,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,W11,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,W11,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,W11,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,W11,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,W11,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,W11,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,W11,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,W11,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,W11,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,W11,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,L33,Juncus bufonius,native,JuncusBufonius_t_Jan19_L33,,seedbank,1,,
1/19/21,L36,Juncus bufonius,native,,,seedbank,1,,
1/19/21,L36,Juncus bufonius,native,,,seedbank,1,,
1/19/21,L36,Juncus bufonius,native,,,seedbank,1,,
1/19/21,L36,Juncus bufonius,native,,,seedbank,1,,
1/19/21,W5,Gamochaeta ustulata,native,Gamochaeta_ustulata_Jan19_W5,2 transplanted,seedbank,1,,
1/19/21,W5,Gamochaeta ustulata,native,,,seedbank,1,,
1/19/21,D21,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,D21,Juncus bufonius,native,Juncus_buffonius_spread_t_Jan19_D21,,seedbank,1,,
1/19/21,D21,Juncus bufonius,native,Juncus_buffonius_erect_t_Jan19_D21,,seedbank,1,,
1/19/21,W3,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,W3,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,W3,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,W3,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,W3,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,W3,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,W3,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,W3,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,W3,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,W3,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,W3,Juncus occidentalis,native,,pulled accidentally with the juncus phaeocaphalus sure/unsure,seedbank,1,,
1/19/21,D25,Baccharis pilularis,native,,,seedbank,1,,
1/19/21,L44,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,L44,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,L44,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,L44,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,L44,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,L44,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,L44,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,L44,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,L44,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,L39,Crassula connata,native,,,seedbank,1,,
1/19/21,W1,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,W1,Juncus phaeocephalus,native,,,seedbank,1,,
1/19/21,W6,Juncus phaeocephalus,native,,other are growing in pots,seedbank,1,,
1/19/21,B18,Juncus bufonius,native,,,seedbank,1,,
1/19/21,B18,Juncus bufonius,native,,,seedbank,1,,
