ObjectID,GlobalID,Date,Sample Site,Substrate/Zone,Notes,x,y
38,a5422e6b-0c4e-4173-a906-744ccb67e3b1,11/13/20,B16,Bull Pen,North of point - 15cm to top of ice plant,-120.4690368,34.46664447
37,0b152424-f0a8-4e64-810b-fe40f3aca131,11/13/20,B17,Bull Pen,,-120.4702129,34.4654458
14,c3b16b4b-a42a-4276-8e23-9d45bb3e583a,11/13/20,B18,Bull Pen,,-120.4726173,34.4667036
16,71ad6d61-5ef1-4f8b-815b-5912ae8e4131,11/13/20,B19,Bull Pen,,-120.4718063,34.4660539
13,0cf6a5ac-b7ac-4ff9-80a4-dbd40fad3a0e,11/13/20,B20,Bull Pen,,-120.4727354,34.465029
12,f944e578-6f09-4bf1-9f95-9baa103b433d,11/13/20,D21,Dune,,-120.4724801,34.4642384
11,4f4e3e33-2b5f-469a-8e1d-1da2433923d0,11/13/20,D22,Dune,,-120.4715503,34.46374272
10,3c26b3a2-f5c7-4e64-a325-f32da232df95,11/13/20,D23,Dune,,-120.4719935,34.46342481
8,d3fcedc4-80bf-4a4a-b5e4-eccd3ccbd6dc,11/13/20,D24,Dune,,-120.4708142,34.46273756
33,0e467780-17d3-4be1-9d6e-490cdd20fee7,11/13/20,D25,Dune,Dispersed lupinus arboretus around the site,-120.4703225,34.4615349
9,c0adb2bf-054a-4f9f-9856-672e6e6e3b41,11/13/20,D26,Dune,,-120.4718351,34.46153259
32,2920da8f-cda4-4147-af4c-8eade1f815d7,11/13/20,D27,Dune,,-120.4712201,34.4607164
,,,D28,Dune,,-120.471878,34.458592
,,,D29,Dune,,-120.470644,34.457646
5,6cf981e7-16f4-4e5f-9ca2-262df5ae211d,11/13/20,D30,Dune,,-120.4686252,34.45625219
7,8c1817a2-b5e6-4266-85b1-430b21a751ca,11/13/20,L31,Loam,,-120.4716563,34.46369547
35,b12330fe-b217-4cf0-855d-b6d56ad0945f,11/13/20,L32,Loam,,-120.4675712,34.4643124
34,7c8b2a81-57e6-4592-945b-4d68c1b52999,11/13/20,L33,Loam,,-120.4691115,34.4632206
30,eac49110-ec77-4158-b60a-330d510885f1,11/13/20,L34,Loam,,-120.4687,34.4613756
28,3e1ff597-72c2-4761-a4ff-7376d28759d2,11/13/20,L35,Loam,,-120.4657888,34.4617047
,,,L36,Loam,,-120.468842,34.45949
,,,L37,Loam,,-120.467594,34.459447
1,08947385-6274-4641-b0e7-491a30379ac2,11/13/20,L38,Loam,,-120.4642734,34.45945706
2,03e3e94a-ae5c-4673-bb03-0d4ea9f45b37,11/13/20,L39,Loam,,-120.4660225,34.45822068
23,84625999-305d-4493-9972-936e57f4dc43,11/13/20,L40,Loam,,-120.4638744,34.4574195
3,5e60bb46-4bfe-452e-a984-5d9cb8899966,11/13/20,L41,Loam,,-120.4657348,34.45633658
25,30d36b00-ecf5-4536-8b7b-c932277d650d,11/13/20,L42,Loam,,-120.4646097,34.4546694
,,,L43,Loam,,-120.462238,34.453067
18,bec0436a-8eeb-4f01-be4d-6f09e2c35cdb,11/13/20,L44,Loam,,-120.4594416,34.4524685
26,8f8e8708-59f6-4b13-9918-9dd32bb6ac08,11/13/20,L45,Loam,,-120.4670781,34.4632533
19,6d2c8c43-9128-48fe-b77f-5d97a8474e45,11/13/20,W1,Wetland,,-120.4601072,34.4544542
29,760e1203-39de-45b8-9470-f675c2e18131,11/13/20,W10,Wetland,cow and deer poops,-120.4667893,34.4603792
27,476c456a-43a6-45fb-b30f-100fd852c989,11/13/20,W11,Wetland,,-120.4666254,34.4627904
6,28d8a7fa-1935-48c1-b52f-eeb63b6b1742,11/13/20,W12,Wetland,,-120.4663096,34.46383082
36,8fbb1e2b-0878-4686-bd3a-34f4ae559068,11/13/20,W13,Wetland,,-120.4680365,34.4647348
17,7f4389fd-1db7-4d9b-a4dd-0b6ffbf62c20,11/13/20,W14,Wetland,South of pt,-120.469058,34.4665662
15,ccd79833-0247-4a89-aefd-de1dde4888ae,11/13/20,W15,Wetland,,-120.4715644,34.46586443
20,f9e6a603-c64e-45a1-834c-f632ccd2c498,11/13/20,W2,Wetland,,-120.4611417,34.4552618
21,963f08a4-853c-453e-8841-b15e12005831,11/13/20,W3,Wetland,,-120.4613087,34.456474
24,3b3025a0-d0a0-4e88-ae2e-fc278579a6d0,11/13/20,W4,Wetland,,-120.4632476,34.4553718
22,42b278e5-c39d-4cc9-8124-2c62b7aad234,11/13/20,W5,Wetland,,-120.462424,34.45777264
4,46e76306-0097-4130-8c57-eede1dddbb76,11/13/20,W6,Wetland,,-120.4677144,34.4561852
,,,W7,Wetland,,-120.468771,34.45738
,,,W8,Wetland,,-120.468888,34.458673
31,b9b86bba-d81f-40af-a311-367fb5ade9a9,11/13/20,W9,Wetland,"in a canyon, coyote bushes and arroyo willows around the site",-120.4695228,34.4606419
,,,L46,Loam,,,
,,,D20,Dune,,,
